Facility Name,State,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date,Excess Readmission Ratio_standardized,Predicted Readmission Rate_standardized,Expected Readmission Rate_standardized
CENTURA HEALTH-ST ANTHONY NORTH HEALTH CAMPUS,CO,Pneumonia,181.0,0.97,14.51,15.02,24,07/01/2020,06/30/2023,-0.6148530484551824,-1.2490064939079866,-1.1562012061888887
CENTURA HEALTH-ST ANTHONY NORTH HEALTH CAMPUS,CO,COPD,56.0,1.07,19.04,17.74,15,07/01/2020,06/30/2023,0.9542310914857236,0.744619827912568,0.3006148977988107
SKY RIDGE MEDICAL CENTER,CO,Pneumonia,218.0,0.97,16.17,16.71,33,07/01/2020,06/30/2023,-0.6148530484551824,-0.5184502700178928,-0.25104708275535387
"LITTLETON ADVENTIST HOSPITAL, CENTURA HEALTH",CO,Pneumonia,252.0,1.03,15.88,15.43,42,07/01/2020,06/30/2023,0.32659743550936127,-0.6460775621432708,-0.936607602278978
PARKER ADVENTIST HOSPITAL,CO,Pneumonia,174.0,0.94,13.33,14.22,19,07/01/2020,06/30/2023,-1.0855782904374542,-1.7683175446250403,-1.584676530891153
GOOD SAMARITAN MEDICAL CENTER LLC,CO,Pneumonia,81.0,0.99,14.81,15.03,11,07/01/2020,06/30/2023,-0.3010362204670012,-1.1169782606748369,-1.1508452646301106
GOOD SAMARITAN MEDICAL CENTER LLC,CO,COPD,44.0,1.05,20.94,20.03,12,07/01/2020,06/30/2023,0.6404142634975425,1.5807986383891814,1.5271255147590448
MEDICAL CENTER OF THE ROCKIES,CO,Pneumonia,253.0,1.01,16.39,16.26,42,07/01/2020,06/30/2023,0.012780607521180043,-0.42162956564691706,-0.49206445290037737
ADVENTHEALTH CASTLE ROCK,CO,Pneumonia,94.0,1.02,14.62,14.35,15,07/01/2020,06/30/2023,0.16968902151527065,-1.2005961417224986,-1.5150492906270354
UCHEALTH GREELEY HOSPITAL,CO,Pneumonia,118.0,1.01,15.62,15.48,19,07/01/2020,06/30/2023,0.012780607521180043,-0.7605020309453343,-0.909827894485086
UCHEALTH HIGHLANDS RANCH HOSPITAL,CO,Pneumonia,165.0,1.0,15.64,15.6,26,07/01/2020,06/30/2023,-0.14412780647291057,-0.7517001487297904,-0.8455565957797468
ST FRANCIS HOSPITAL & MEDICAL CENTER,CT,Pneumonia,351.0,1.07,17.43,16.23,66,07/01/2020,06/30/2023,0.9542310914857236,0.03606830956133354,-0.508132277576713
ST FRANCIS HOSPITAL & MEDICAL CENTER,CT,COPD,162.0,0.93,18.17,19.53,25,07/01/2020,06/30/2023,-1.242486704431543,0.36173795153643606,1.2593284368201294
DAY KIMBALL HOSPITAL,CT,Pneumonia,121.0,1.02,15.58,15.31,20,07/01/2020,06/30/2023,0.16968902151527065,-0.7781057953764204,-1.0008789009843173
DAY KIMBALL HOSPITAL,CT,COPD,99.0,1.03,16.44,15.97,18,07/01/2020,06/30/2023,0.32659743550936127,-0.39962486010805853,-0.6473867581049488
SHARON HOSPITAL,CT,Pneumonia,148.0,0.96,13.5,14.13,17,07/01/2020,06/30/2023,-0.7717614624492729,-1.6935015457929226,-1.6328800049201577
SHARON HOSPITAL,CT,COPD,45.0,1.06,16.83,15.89,11,07/01/2020,06/30/2023,0.797322677491633,-0.22798815690496574,-0.6902342905751754
WATERBURY HOSPITAL,CT,Pneumonia,290.0,1.04,17.71,17.04,54,07/01/2020,06/30/2023,0.4835058495034518,0.1592946605789401,-0.07430101131567059
WATERBURY HOSPITAL,CT,COPD,111.0,0.92,17.89,19.35,15,07/01/2020,06/30/2023,-1.3993951184256337,0.23851160051882955,1.16292148876212
STAMFORD HOSPITAL,CT,Pneumonia,467.0,0.96,14.78,15.46,66,07/01/2020,06/30/2023,-0.7717614624492729,-1.1301810839981523,-0.9205397776026425
STAMFORD HOSPITAL,CT,COPD,81.0,1.08,22.21,20.56,23,07/01/2020,06/30/2023,1.1111395054798143,2.13971815907618,1.810990417374294
LAWRENCE & MEMORIAL HOSPITAL,CT,Pneumonia,451.0,1.06,17.58,16.65,83,07/01/2020,06/30/2023,0.797322677491633,0.10208242617790758,-0.2831827321080249
LAWRENCE & MEMORIAL HOSPITAL,CT,COPD,108.0,0.94,18.08,19.14,16,07/01/2020,06/30/2023,-1.0855782904374542,0.3221294815664898,1.050446716027775
BRIDGEPORT HOSPITAL,CT,Pneumonia,714.0,1.11,17.92,16.15,135,07/01/2020,06/30/2023,1.581864747462086,0.251714423842145,-0.5509798100469404
BRIDGEPORT HOSPITAL,CT,COPD,124.0,0.99,18.95,19.1,23,07/01/2020,06/30/2023,-0.3010362204670012,0.7050113579426233,1.0290229497926622
CHARLOTTE HUNGERFORD HOSPITAL,CT,Pneumonia,350.0,1.19,19.2,16.19,79,07/01/2020,06/30/2023,2.8371320594148073,0.8150348856369144,-0.5295560438118257
CHARLOTTE HUNGERFORD HOSPITAL,CT,COPD,140.0,1.14,22.77,20.05,40,07/01/2020,06/30/2023,2.0525899894443542,2.3861708611113914,1.5378373978766013
SAINT MARY'S HOSPITAL,CT,Pneumonia,266.0,0.91,14.8,16.28,33,07/01/2020,06/30/2023,-1.5563035324197243,-1.1213792017826085,-0.481352569782821
SAINT MARY'S HOSPITAL,CT,COPD,130.0,0.9,18.31,20.39,17,07/01/2020,06/30/2023,-1.7132119464138147,0.4233511270452378,1.7199394108750636
MIDSTATE MEDICAL CENTER,CT,Pneumonia,373.0,0.98,15.14,15.49,55,07/01/2020,06/30/2023,-0.45794463446109174,-0.9717472041183726,-0.9044719529263079
MIDSTATE MEDICAL CENTER,CT,COPD,123.0,1.08,20.98,19.34,31,07/01/2020,06/30/2023,1.1111395054798143,1.5984024028202675,1.1575655472033408
GREENWICH HOSPITAL ASSOCIATION -,CT,Pneumonia,523.0,0.98,15.51,15.76,80,07/01/2020,06/30/2023,-0.45794463446109174,-0.8089123831308221,-0.7598615308392938
GREENWICH HOSPITAL ASSOCIATION -,CT,COPD,76.0,1.04,17.72,17.0,16,07/01/2020,06/30/2023,0.4835058495034518,0.16369560168671085,-0.09572477755078336
MIDDLESEX HOSPITAL,CT,Pneumonia,595.0,1.14,16.36,14.37,106,07/01/2020,06/30/2023,2.0525899894443542,-0.4348323889702325,-1.504337407509479
MIDDLESEX HOSPITAL,CT,COPD,190.0,1.07,18.73,17.43,40,07/01/2020,06/30/2023,0.9542310914857236,0.6081906535716476,0.13458070947668377
WINDHAM COMMUNITY MEMORIAL HOSPITAL,CT,Pneumonia,107.0,1.02,14.88,14.63,17,07/01/2020,06/30/2023,0.16968902151527065,-1.0861716729204351,-1.3650829269812421
WINDHAM COMMUNITY MEMORIAL HOSPITAL,CT,COPD,55.0,1.06,17.58,16.63,13,07/01/2020,06/30/2023,0.797322677491633,0.10208242617790758,-0.29389461522558136
YALE-NEW HAVEN HOSPITAL,CT,Pneumonia,1319.0,0.98,17.45,17.76,229,07/01/2020,06/30/2023,-0.45794463446109174,0.04487019177687664,0.31132678091636895
YALE-NEW HAVEN HOSPITAL,CT,COPD,171.0,0.97,18.11,18.7,29,07/01/2020,06/30/2023,-0.6148530484551824,0.3353323048898052,0.8147852874415288
WILLIAM W BACKUS HOSPITAL,CT,Pneumonia,453.0,0.9,15.23,16.88,62,07/01/2020,06/30/2023,-1.7132119464138147,-0.9321387341484278,-0.1599960762561236
WILLIAM W BACKUS HOSPITAL,CT,COPD,242.0,1.06,19.27,18.24,50,07/01/2020,06/30/2023,0.797322677491633,0.845841473391316,0.5684119757377261
HARTFORD HOSPITAL,CT,Pneumonia,582.0,1.05,16.48,15.74,99,07/01/2020,06/30/2023,0.6404142634975425,-0.38202109567697234,-0.7705734139568502
HARTFORD HOSPITAL,CT,COPD,164.0,0.96,16.89,17.65,25,07/01/2020,06/30/2023,-0.7717614624492729,-0.20158251025833487,0.25241142376980596
MANCHESTER MEMORIAL HOSPITAL,CT,Pneumonia,302.0,0.95,14.63,15.35,41,07/01/2020,06/30/2023,-0.9286698764433635,-1.1961952006147263,-0.9794551347492045
MANCHESTER MEMORIAL HOSPITAL,CT,COPD,68.0,1.04,18.54,17.83,15,07/01/2020,06/30/2023,0.4835058495034518,0.5245727725239858,0.3488183718278154
ST VINCENT'S MEDICAL CENTER,CT,Pneumonia,295.0,1.04,16.28,15.58,51,07/01/2020,06/30/2023,0.4835058495034518,-0.4700399178324049,-0.8562684788973032
ST VINCENT'S MEDICAL CENTER,CT,COPD,87.0,0.96,16.95,17.72,12,07/01/2020,06/30/2023,-0.7717614624492729,-0.17517686361170556,0.2899030146812543
BRISTOL HOSPITAL,CT,Pneumonia,171.0,1.07,17.25,16.15,34,07/01/2020,06/30/2023,0.9542310914857236,-0.04314863037855593,-0.5509798100469404
BRISTOL HOSPITAL,CT,COPD,84.0,1.04,19.39,18.56,19,07/01/2020,06/30/2023,0.4835058495034518,0.8986527666845762,0.7398021056186321
GRIFFIN HOSPITAL,CT,Pneumonia,128.0,1.0,14.61,14.54,19,07/01/2020,06/30/2023,-0.14412780647291057,-1.2049970828302703,-1.413286401010248
GRIFFIN HOSPITAL,CT,COPD,103.0,0.93,15.93,17.15,12,07/01/2020,06/30/2023,-1.242486704431543,-0.6240728566044131,-0.015385654169109492
DANBURY HOSPITAL,CT,Pneumonia,858.0,1.05,16.31,15.59,143,07/01/2020,06/30/2023,0.6404142634975425,-0.45683709450909105,-0.850912537338525
DANBURY HOSPITAL,CT,COPD,263.0,1.01,17.97,17.76,48,07/01/2020,06/30/2023,0.012780607521180043,0.27371912938100196,0.31132678091636895
NORWALK HOSPITAL,CT,Pneumonia,443.0,1.01,15.65,15.49,70,07/01/2020,06/30/2023,0.012780607521180043,-0.7472992076220188,-0.9044719529263079
NORWALK HOSPITAL,CT,COPD,88.0,1.0,17.04,17.04,15,07/01/2020,06/30/2023,-0.14412780647291057,-0.13556839364176082,-0.07430101131567059
THE HOSPITAL OF CENTRAL CONNECTICUT,CT,Pneumonia,355.0,0.97,15.56,16.08,53,07/01/2020,06/30/2023,-0.6148530484551824,-0.7869076775919636,-0.5884714009583887
THE HOSPITAL OF CENTRAL CONNECTICUT,CT,COPD,139.0,1.01,18.37,18.22,26,07/01/2020,06/30/2023,0.012780607521180043,0.44975677369186867,0.5577000926201697
JOHN DEMPSEY HOSPITAL,CT,Pneumonia,286.0,0.97,14.09,14.58,38,07/01/2020,06/30/2023,-0.6148530484551824,-1.4338460204343955,-1.3918626347751342
JOHN DEMPSEY HOSPITAL,CT,COPD,90.0,1.06,19.21,18.09,21,07/01/2020,06/30/2023,0.797322677491633,0.8194358267446867,0.48807285235605224
CHRISTIANA HOSPITAL,DE,Pneumonia,1588.0,0.93,14.37,15.53,223,07/01/2020,06/30/2023,-1.242486704431543,-1.3106196694167898,-0.8830481866911951
CHRISTIANA HOSPITAL,DE,COPD,730.0,1.0,18.92,18.97,138,07/01/2020,06/30/2023,-0.14412780647291057,0.6918085346193094,0.9593957095285429
"BAYHEALTH MEDICAL CENTER, KENT CAMPUS",DE,Pneumonia,764.0,1.08,17.51,16.21,139,07/01/2020,06/30/2023,1.1111395054798143,0.07127583842350751,-0.5188441606942693
"BAYHEALTH MEDICAL CENTER, KENT CAMPUS",DE,COPD,288.0,0.99,17.59,17.79,50,07/01/2020,06/30/2023,-0.3010362204670012,0.10648336728567992,0.3273946055927026
"TIDALHEALTH NANTICOKE, INC.",DE,Pneumonia,353.0,0.89,14.7,16.55,44,07/01/2020,06/30/2023,-1.8701203604079053,-1.1653886128603255,-0.3367421476958069
"TIDALHEALTH NANTICOKE, INC.",DE,COPD,146.0,0.94,17.89,19.12,22,07/01/2020,06/30/2023,-1.0855782904374542,0.23851160051882955,1.0397348329102187
BEEBE MEDICAL CENTER,DE,Pneumonia,681.0,1.06,15.7,14.76,111,07/01/2020,06/30/2023,0.797322677491633,-0.725294502083161,-1.2954556867171247
BEEBE MEDICAL CENTER,DE,COPD,226.0,0.93,15.1,16.19,30,07/01/2020,06/30/2023,-1.242486704431543,-0.9893509685494596,-0.5295560438118257
"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",DE,Pneumonia,306.0,0.96,14.95,15.58,43,07/01/2020,06/30/2023,-0.7717614624492729,-1.0553650851660343,-0.8562684788973032
"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",DE,COPD,138.0,1.0,18.28,18.34,25,07/01/2020,06/30/2023,-0.14412780647291057,0.4101483037219239,0.6219713913255099
GEORGE WASHINGTON UNIV HOSPITAL,DC,Pneumonia,178.0,0.98,16.69,17.11,28,07/01/2020,06/30/2023,-0.45794463446109174,-0.28960133241376745,-0.03680942040422227
GEORGE WASHINGTON UNIV HOSPITAL,DC,COPD,81.0,1.02,21.44,20.92,19,07/01/2020,06/30/2023,0.16968902151527065,1.8008456937777635,2.0038043134903147
HOWARD UNIVERSITY HOSPITAL CORP,DC,Pneumonia,128.0,0.98,17.5,17.86,21,07/01/2020,06/30/2023,-0.45794463446109174,0.06687489731573518,0.3648861965041509
HOWARD UNIVERSITY HOSPITAL CORP,DC,COPD,80.0,1.11,24.78,22.28,27,07/01/2020,06/30/2023,1.581864747462086,3.2707600237734926,2.7322123654841644
MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,DC,Pneumonia,206.0,1.06,18.06,17.1,41,07/01/2020,06/30/2023,0.797322677491633,0.3133275993509467,-0.04216536196299951
MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,DC,COPD,43.0,1.03,21.54,20.97,11,07/01/2020,06/30/2023,0.32659743550936127,1.844855104855479,2.030584021284205
SIBLEY MEMORIAL HOSPITAL,DC,Pneumonia,375.0,0.94,13.62,14.5,47,07/01/2020,06/30/2023,-1.0855782904374542,-1.6406902524996632,-1.4347101672453606
UNITED MEDICAL CENTER,DC,Pneumonia,77.0,0.98,18.6,18.95,13,07/01/2020,06/30/2023,-0.45794463446109174,0.5509784191706166,0.9486838264109865
MEDSTAR WASHINGTON HOSPITAL CENTER,DC,Pneumonia,396.0,1.1,19.84,18.11,85,07/01/2020,06/30/2023,1.4249563334679953,1.0966951165343,0.49878473547360863
MEDSTAR WASHINGTON HOSPITAL CENTER,DC,COPD,176.0,1.04,21.88,21.05,41,07/01/2020,06/30/2023,0.4835058495034518,1.9944871025197148,2.0734315537544323
SHANDS JACKSONVILLE,FL,Pneumonia,240.0,1.01,18.94,18.8,46,07/01/2020,06/30/2023,0.012780607521180043,0.7006104168348525,0.8683447030293127
SHANDS JACKSONVILLE,FL,COPD,119.0,1.14,24.42,21.39,38,07/01/2020,06/30/2023,2.0525899894443542,3.1123261438937138,2.2555335667528946
BETHESDA  HOSPITAL INC,FL,Pneumonia,737.0,0.94,15.1,16.08,107,07/01/2020,06/30/2023,-1.0855782904374542,-0.9893509685494596,-0.5884714009583887
BETHESDA  HOSPITAL INC,FL,COPD,242.0,1.07,19.45,18.25,51,07/01/2020,06/30/2023,0.9542310914857236,0.9250584133312055,0.5737679172965052
ORLANDO HEALTH,FL,Pneumonia,808.0,1.01,17.26,17.14,140,07/01/2020,06/30/2023,0.012780607521180043,-0.03874768927078359,-0.020741595727886735
ORLANDO HEALTH,FL,COPD,334.0,1.13,21.28,18.75,79,07/01/2020,06/30/2023,1.8956815754502638,1.7304306360534172,0.8415649952354207
ADVENTHEALTH ORLANDO,FL,Pneumonia,3258.0,1.13,18.99,16.83,627,07/01/2020,06/30/2023,1.8956815754502638,0.7226151223737095,-0.18677578405001552
ADVENTHEALTH ORLANDO,FL,COPD,702.0,1.1,19.8,17.97,145,07/01/2020,06/30/2023,1.4249563334679953,1.0790913521032137,0.423801553650712
BAPTIST HOSPITAL OF MIAMI,FL,Pneumonia,605.0,1.06,17.73,16.79,111,07/01/2020,06/30/2023,0.797322677491633,0.1680965427944832,-0.20819955028512832
BAPTIST HOSPITAL OF MIAMI,FL,COPD,124.0,0.99,19.63,19.74,24,07/01/2020,06/30/2023,-0.3010362204670012,1.0042753532710949,1.3718032095544725
LEE MEMORIAL HOSPITAL,FL,Pneumonia,945.0,1.06,16.75,15.85,162,07/01/2020,06/30/2023,0.797322677491633,-0.26319568576713814,-0.711658056810289
LEE MEMORIAL HOSPITAL,FL,COPD,307.0,0.99,19.68,19.82,60,07/01/2020,06/30/2023,-0.3010362204670012,1.0262800588099534,1.4146507420246999
ADVENTHEALTH NEW SMYRNA BEACH,FL,Pneumonia,276.0,0.92,15.0,16.27,36,07/01/2020,06/30/2023,-1.3993951184256337,-1.033360379627176,-0.48670851134160015
ADVENTHEALTH NEW SMYRNA BEACH,FL,COPD,105.0,1.07,18.92,17.68,24,07/01/2020,06/30/2023,0.9542310914857236,0.6918085346193094,0.2684792484461415
HALIFAX HEALTH MEDICAL CENTER,FL,Pneumonia,420.0,0.95,15.12,15.94,60,07/01/2020,06/30/2023,-0.9286698764433635,-0.9805490863339165,-0.6634545827812843
HALIFAX HEALTH MEDICAL CENTER,FL,COPD,157.0,1.04,19.52,18.8,33,07/01/2020,06/30/2023,0.4835058495034518,0.9558650010856071,0.8683447030293127
NAPLES COMMUNITY HOSPITAL,FL,Pneumonia,1485.0,0.98,15.09,15.33,223,07/01/2020,06/30/2023,-0.45794463446109174,-0.9937519096572311,-0.990167017866761
NAPLES COMMUNITY HOSPITAL,FL,COPD,330.0,1.02,17.81,17.46,60,07/01/2020,06/30/2023,0.16968902151527065,0.2033040716566556,0.1506485341530193
HOLMES REGIONAL MEDICAL CENTER,FL,Pneumonia,670.0,0.78,13.52,17.3,74,07/01/2020,06/30/2023,-3.5961129143429003,-1.6846996635773794,0.06495346921256628
HOLMES REGIONAL MEDICAL CENTER,FL,COPD,253.0,0.81,16.25,20.1,28,07/01/2020,06/30/2023,-3.1253876723606284,-0.48324274115572036,1.5646171056704932
JACKSON HEALTH SYSTEM,FL,Pneumonia,403.0,0.96,18.12,18.92,70,07/01/2020,06/30/2023,-0.7717614624492729,0.33973324599757754,0.9326160017346529
JACKSON HEALTH SYSTEM,FL,COPD,127.0,1.02,23.17,22.62,31,07/01/2020,06/30/2023,0.16968902151527065,2.5622085054222583,2.9143143784826266
HCA FLORIDA CITRUS HOSPITAL,FL,Pneumonia,378.0,0.93,15.57,16.73,54,07/01/2020,06/30/2023,-1.242486704431543,-0.782506736484192,-0.24033519963779748
HCA FLORIDA CITRUS HOSPITAL,FL,COPD,93.0,1.0,17.15,17.13,16,07/01/2020,06/30/2023,-0.14412780647291057,-0.087158041456273,-0.026097537286665883
SACRED HEART HOSPITAL,FL,Pneumonia,684.0,1.04,18.21,17.57,127,07/01/2020,06/30/2023,0.4835058495034518,0.3793417159675223,0.2095638912995804
SACRED HEART HOSPITAL,FL,COPD,150.0,1.0,18.64,18.63,28,07/01/2020,06/30/2023,-0.14412780647291057,0.5685821836017029,0.7772936965300805
ASCENSION SACRED HEART BAY,FL,Pneumonia,344.0,0.95,15.34,16.22,49,07/01/2020,06/30/2023,-0.9286698764433635,-0.88372838196294,-0.513488219135492
ASCENSION SACRED HEART BAY,FL,COPD,97.0,1.01,18.05,17.9,18,07/01/2020,06/30/2023,0.012780607521180043,0.30892665824317594,0.38630996273926366
PARRISH MEDICAL CENTER,FL,Pneumonia,241.0,0.85,13.55,15.9,22,07/01/2020,06/30/2023,-2.4977540163842678,-1.671496840254064,-0.6848783490163972
PARRISH MEDICAL CENTER,FL,COPD,94.0,1.02,18.06,17.75,18,07/01/2020,06/30/2023,0.16968902151527065,0.3133275993509467,0.3059708393575898
STEWARD NORTH SHORE MEDICAL CENTER,FL,Pneumonia,258.0,1.02,19.29,18.96,51,07/01/2020,06/30/2023,0.16968902151527065,0.8546433556068591,0.9540397679697656
STEWARD NORTH SHORE MEDICAL CENTER,FL,COPD,70.0,0.98,18.89,19.25,12,07/01/2020,06/30/2023,-0.45794463446109174,0.678605711295994,1.109362073174336
ORLANDO HEALTH-HEALTH CENTRAL HOSPITAL,FL,Pneumonia,263.0,0.92,15.08,16.4,34,07/01/2020,06/30/2023,-1.3993951184256337,-0.9981528507650027,-0.41708127107748266
ORLANDO HEALTH-HEALTH CENTRAL HOSPITAL,FL,COPD,82.0,1.09,21.18,19.41,23,07/01/2020,06/30/2023,1.268047919473905,1.6864212249757,1.1950571381147892
ORLANDO HEALTH BAYFRONT HOSPITAL,FL,Pneumonia,153.0,0.97,15.94,16.5,22,07/01/2020,06/30/2023,-0.6148530484551824,-0.6196719154966416,-0.36352185548969884
ORLANDO HEALTH BAYFRONT HOSPITAL,FL,COPD,56.0,1.05,20.81,19.75,15,07/01/2020,06/30/2023,0.6404142634975425,1.5235864039881488,1.3771591511132517
"MOUNT SINAI MEDICAL CENTER OF FLORIDA, INC",FL,Pneumonia,189.0,1.05,17.26,16.43,36,07/01/2020,06/30/2023,0.6404142634975425,-0.03874768927078359,-0.4010134464011471
MANATEE MEMORIAL HOSPITAL,FL,Pneumonia,334.0,0.99,16.33,16.45,54,07/01/2020,06/30/2023,-0.3010362204670012,-0.4480352122935479,-0.3903015632835907
MANATEE MEMORIAL HOSPITAL,FL,COPD,217.0,0.95,18.6,19.63,37,07/01/2020,06/30/2023,-0.9286698764433635,0.5509784191706166,1.3128878524079113
MEMORIAL REGIONAL HOSPITAL,FL,Pneumonia,356.0,1.06,17.08,16.06,65,07/01/2020,06/30/2023,0.797322677491633,-0.11796462921067463,-0.5991832840759451
MEMORIAL REGIONAL HOSPITAL,FL,COPD,106.0,1.03,19.99,19.43,23,07/01/2020,06/30/2023,0.32659743550936127,1.162709233150874,1.2057690212323455
BROWARD HEALTH MEDICAL CENTER,FL,Pneumonia,169.0,0.98,16.15,16.46,26,07/01/2020,06/30/2023,-0.45794463446109174,-0.5272521522334375,-0.3849456217248116
BROWARD HEALTH MEDICAL CENTER,FL,COPD,70.0,1.0,15.68,15.67,11,07/01/2020,06/30/2023,-0.14412780647291057,-0.7340963842987042,-0.8080650048682985
ASCENSION ST VINCENT'S RIVERSIDE,FL,Pneumonia,574.0,1.02,17.94,17.67,104,07/01/2020,06/30/2023,0.16968902151527065,0.2605163060576881,0.26312330688736424
ASCENSION ST VINCENT'S RIVERSIDE,FL,COPD,154.0,1.17,22.23,19.07,44,07/01/2020,06/30/2023,2.523315231426626,2.148520041291723,1.0129551251163267
MEASE DUNEDIN HOSPITAL,FL,Pneumonia,176.0,0.96,15.18,15.8,24,07/01/2020,06/30/2023,-0.7717614624492729,-0.9541434396872864,-0.7384377646041801
MEASE DUNEDIN HOSPITAL,FL,COPD,55.0,1.03,18.72,18.21,12,07/01/2020,06/30/2023,0.32659743550936127,0.6037897124638752,0.5523441510613925
CLEVELAND CLINIC MARTIN NORTH HOSPITAL,FL,Pneumonia,1495.0,1.02,15.75,15.38,237,07/01/2020,06/30/2023,0.16968902151527065,-0.7032897965443026,-0.963387310072869
CLEVELAND CLINIC MARTIN NORTH HOSPITAL,FL,COPD,415.0,1.16,19.21,16.52,89,07/01/2020,06/30/2023,2.3664068174325354,0.8194358267446867,-0.3528099723721424
ADVENTHEALTH DELAND,FL,Pneumonia,304.0,1.02,16.65,16.31,52,07/01/2020,06/30/2023,0.16968902151527065,-0.3072050968448552,-0.4652847451064874
ADVENTHEALTH DELAND,FL,COPD,125.0,1.02,18.98,18.6,25,07/01/2020,06/30/2023,0.16968902151527065,0.7182141812659387,0.7612258718537468
FLORIDA HOSPITAL ZEPHYRHILLS,FL,Pneumonia,279.0,0.94,16.48,17.47,42,07/01/2020,06/30/2023,-1.0855782904374542,-0.38202109567697234,0.15600447571179654
FLORIDA HOSPITAL ZEPHYRHILLS,FL,COPD,96.0,0.93,18.36,19.78,13,07/01/2020,06/30/2023,-1.242486704431543,0.44535583258409633,1.3932269757895872
SHOREPOINT HEALTH PUNTA GORDA,FL,Pneumonia,245.0,1.12,18.92,16.95,54,07/01/2020,06/30/2023,1.7387731614561766,0.6918085346193094,-0.12250448534467528
SHOREPOINT HEALTH PUNTA GORDA,FL,COPD,98.0,0.96,17.57,18.21,15,07/01/2020,06/30/2023,-0.7717614624492729,0.09768148507013681,0.5523441510613925
HCA FLORIDA HIGHLANDS HOSPITAL,FL,Pneumonia,262.0,1.05,18.26,17.45,51,07/01/2020,06/30/2023,0.6404142634975425,0.40134642150638083,0.14529259259424016
HCA FLORIDA HIGHLANDS HOSPITAL,FL,COPD,68.0,1.05,19.05,18.14,16,07/01/2020,06/30/2023,0.6404142634975425,0.7490207690203403,0.5148525601499442
LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,FL,Pneumonia,158.0,0.93,16.47,17.73,21,07/01/2020,06/30/2023,-1.242486704431543,-0.3864220367847447,0.2952589562400334
LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,FL,COPD,55.0,0.99,20.59,20.7,11,07/01/2020,06/30/2023,-0.3010362204670012,1.4267656996171731,1.8859735991971907
ORLANDO HEALTH SOUTH LAKE HOSPITAL,FL,Pneumonia,444.0,1.04,16.31,15.7,75,07/01/2020,06/30/2023,0.4835058495034518,-0.45683709450909105,-0.791997180191964
ORLANDO HEALTH SOUTH LAKE HOSPITAL,FL,COPD,199.0,0.95,15.55,16.34,28,07/01/2020,06/30/2023,-0.9286698764433635,-0.7913086186997351,-0.4492169204301518
WINTER HAVEN HOSPITAL,FL,Pneumonia,489.0,1.08,17.92,16.57,93,07/01/2020,06/30/2023,1.1111395054798143,0.251714423842145,-0.3260302645782505
WINTER HAVEN HOSPITAL,FL,COPD,207.0,0.96,17.75,18.55,34,07/01/2020,06/30/2023,-0.7717614624492729,0.17689842501002628,0.7344461640598549
STEWARD HIALEAH HOSPITAL,FL,Pneumonia,180.0,1.12,20.7,18.56,45,07/01/2020,06/30/2023,1.7387731614561766,1.475176051802661,0.7398021056186321
HCA FLORIDA TWIN CITIES HOSPITAL,FL,Pneumonia,177.0,1.12,18.81,16.83,41,07/01/2020,06/30/2023,1.7387731614561766,0.64339818243382,-0.18677578405001552
HCA FLORIDA TWIN CITIES HOSPITAL,FL,COPD,64.0,1.02,18.85,18.57,13,07/01/2020,06/30/2023,0.16968902151527065,0.6610019468649078,0.7451580471774113
ADVENTHEALTH NORTH PINELLAS,FL,Pneumonia,230.0,1.11,17.8,16.06,48,07/01/2020,06/30/2023,1.581864747462086,0.1989031305488848,-0.5991832840759451
ADVENTHEALTH NORTH PINELLAS,FL,COPD,70.0,0.98,18.79,19.14,12,07/01/2020,06/30/2023,-0.45794463446109174,0.634596300218277,1.050446716027775
ADVENTHEALTH WATERMAN,FL,Pneumonia,722.0,0.92,15.04,16.36,103,07/01/2020,06/30/2023,-1.3993951184256337,-1.0157566151960897,-0.43850503731259544
ADVENTHEALTH WATERMAN,FL,COPD,182.0,1.0,18.05,18.0,33,07/01/2020,06/30/2023,-0.14412780647291057,0.30892665824317594,0.43986937832704753
ADVENTHEALTH OCALA,FL,Pneumonia,604.0,0.93,15.53,16.67,89,07/01/2020,06/30/2023,-1.242486704431543,-0.800110500915279,-0.27247084899046664
ADVENTHEALTH OCALA,FL,COPD,219.0,0.95,17.96,18.95,36,07/01/2020,06/30/2023,-0.9286698764433635,0.2693181882732312,0.9486838264109865
MORTON PLANT NORTH BAY HOSPITAL,FL,Pneumonia,285.0,1.02,17.48,17.18,51,07/01/2020,06/30/2023,0.16968902151527065,0.058073015100192076,0.0006821705072260439
MORTON PLANT NORTH BAY HOSPITAL,FL,COPD,135.0,1.03,19.89,19.23,29,07/01/2020,06/30/2023,0.32659743550936127,1.1186998220731583,1.0986501900567798
ST ANTHONYS HOSPITAL,FL,Pneumonia,702.0,1.04,17.72,17.07,127,07/01/2020,06/30/2023,0.4835058495034518,0.16369560168671085,-0.05823318663933505
